"country.x","region_short","coverage","target","Population_totale","year","PIB_par_habitant","Esperance_vie_naissance","Scolarisation_secondaire","Utilisateurs_Internet","Taux_urbanisation","Achèvement_primaire","Achèvement_secondaire","pc1_score","priority_geo"
"Burundi","ESAR",84,18927000,14047786,2024,153.930217854023,57.249,34.6426315307617,4.1,15.16,63.1980590820312,33.5138893127441,-0.469578857155846,97.8224456216855
"Malawi","ESAR",84,18927000,21655286,2024,508.371273531708,57.249,34.6426315307617,4.1,18.598,63.1980590820312,33.5138893127441,-0.427061642681789,96.7848260524324
"Rwanda","ESAR",84,18927000,14256567,2024,999.654561402699,57.249,34.6426315307617,4.1,18.081,63.1980590820312,33.5138893127441,-0.410108838298327,96.371098064849
"South Sudan","ESAR",84,18927000,11943408,2024,700.450073242188,57.249,34.6426315307617,4.1,21.56,63.1980590820312,33.5138893127441,-0.395287780328742,96.0093946941905
"Ethiopia","ESAR",84,18927000,132059767,2024,700.450073242188,57.249,34.6426315307617,4.1,23.661,63.1980590820312,33.5138893127441,-0.378590870729204,95.601911740266
"Uganda","ESAR",84,18927000,50015092,2024,1072.71369837695,57.249,34.6426315307617,4.1,27.389,63.1980590820312,33.5138893127441,-0.3330049308892,94.4894008703536
"Lesotho","ESAR",84,18927000,2337423,2024,971.814620468788,57.249,34.6426315307617,4.1,30.897,63.1980590820312,33.5138893127441,-0.309451991417225,93.9145986117422
"Comoros","ESAR",84,18927000,866628,2024,1784.11546860293,57.249,34.6426315307617,4.1,30.418,63.1980590820312,33.5138893127441,-0.27843507320667,93.1576402429658
"Niger","WCAR",80,21743000,27032412,2024,722.748650326257,57.241,30.9303798675537,4.89,17.232,58.0902557373047,29.2448196411133,-0.558805727268134,100
"Chad","WCAR",80,21743000,20299123,2024,1016.08880662712,57.241,30.9303798675537,4.89,24.691,58.0902557373047,29.2448196411133,-0.486952537858815,98.2464449666651
"Burkina Faso","WCAR",80,21743000,23548781,2024,987.321378101867,57.241,30.9303798675537,4.89,33.166,58.0902557373047,29.2448196411133,-0.420833922232842,96.6328404463761
"Central African Republic","WCAR",80,21743000,5330690,2024,516.170424537757,57.241,30.9303798675537,4.89,44.13,58.0902557373047,29.2448196411133,-0.353900032407892,94.9993394094965
"Guinea","WCAR",80,21743000,14754785,2024,1717.02318120779,57.241,30.9303798675537,4.89,38.517,58.0902557373047,29.2448196411133,-0.347026312202918,94.8315883776738
"Sierra Leone","WCAR",80,21743000,8642022,2024,873.388575182318,57.241,30.9303798675537,4.89,44.779,58.0902557373047,29.2448196411133,-0.333428294596385,94.4997329316827
"Togo","WCAR",80,21743000,9515236,2024,1043.14092889765,57.241,30.9303798675537,4.89,45.064,58.0902557373047,29.2448196411133,-0.323886027549319,94.2668568332469
"Guinea-Bissau","WCAR",80,21743000,2201352,2024,962.983627901892,57.241,30.9303798675537,4.89,45.893,58.0902557373047,29.2448196411133,-0.320734229464996,94.1899381683936
