"country.x","region_short","coverage","Population_totale","Population_agee_65_plus","Acces_eau_potable","Acces_electricite","Lits_hospitaliers_pour_1000","Part_population_rurale","rural_challenge","infrastructure_challenge","water_challenge","lastmile_opportunity"
"Burundi","ESAR",84,14047786,2.53180465590806,33.350311214661,31.8,1.01,84.84,84.84,68.2,66.649688785339,73.2298962617797
"Rwanda","ESAR",84,14256567,3.92606803328137,33.350311214661,31.8,1.01,81.919,81.919,68.2,66.649688785339,72.256229595113
"Malawi","ESAR",84,21655286,2.58611915815843,33.350311214661,31.8,1.01,81.402,81.402,68.2,66.649688785339,72.0838962617797
"South Sudan","ESAR",84,11943408,2.99167528264649,33.350311214661,31.8,1.01,78.44,78.44,68.2,66.649688785339,71.0965629284463
"Ethiopia","ESAR",84,132059767,3.22998448410868,33.350311214661,31.8,1.01,76.339,76.339,68.2,66.649688785339,70.396229595113
"Eswatini","ESAR",84,1242822,4.26195555838067,33.350311214661,31.8,1.01,74.987,74.987,68.2,66.649688785339,69.9455629284463
"Uganda","ESAR",84,50015092,2.18856638123782,33.350311214661,31.8,1.01,72.611,72.611,68.2,66.649688785339,69.1535629284463
"Kenya","ESAR",84,56432944,2.96616899017204,33.350311214661,31.8,1.01,69.951,69.951,68.2,66.649688785339,68.2668962617797
"Niger","WCAR",80,27032412,2.59438183698921,21.9564981614005,37.6,0.7,82.768,82.768,62.4,78.0435018385995,74.4038339461998
"Chad","WCAR",80,20299123,2.10053656012627,21.9564981614005,37.6,0.7,75.309,75.309,62.4,78.0435018385995,71.9175006128665
"Burkina Faso","WCAR",80,23548781,2.65177208111112,21.9564981614005,37.6,0.7,66.834,66.834,62.4,78.0435018385995,69.0925006128665
"Guinea","WCAR",80,14754785,3.45511630785822,21.9564981614005,37.6,0.7,61.483,61.483,62.4,78.0435018385995,67.3088339461998
"Central African Republic","WCAR",80,5330690,2.15107257700903,21.9564981614005,37.6,0.7,55.87,55.87,62.4,78.0435018385995,65.4378339461998
"Sierra Leone","WCAR",80,8642022,3.24269579256476,21.9564981614005,37.6,0.7,55.221,55.221,62.4,78.0435018385995,65.2215006128665
"Togo","WCAR",80,9515236,3.21344647749391,21.9564981614005,37.6,0.7,54.936,54.936,62.4,78.0435018385995,65.1265006128665
"Guinea-Bissau","WCAR",80,2201352,3.191856640828,21.9564981614005,37.6,0.7,54.107,54.107,62.4,78.0435018385995,64.8501672795332
